drug,gene,no_mut,mut,amp,del,stats
MS-275,MSH2,6,3,0,3,1
MS-275,MSH6,4,3,0,1,1
MS-275,MYC,27,0,27,0,0
MS-275,MYCL1,10,0,10,0,0
MS-275,MYCN,24,0,24,0,1
MS-275,NF1,13,8,0,5,1
MS-275,NF2,12,10,0,2,0
MS-275,NOTCH1,12,12,0,0,0
MS-275,NRAS,25,25,0,0,1
MS-275,PDGFRA,1,0,1,0,1
MS-275,PIK3CA,18,16,2,0,0
MS-275,PIK3R1,5,4,0,1,1
MS-275,PTEN,55,36,0,19,1
MS-275,RB1,63,52,0,11,0
MS-275,RUNX1,1,1,0,0,1
MS-275,SETD2,1,1,0,0,0
MS-275,SMAD4,8,6,0,2,0
MS-275,SMARCA4,4,4,0,0,1
MS-275,SMARCB1,0,0,0,0,1
MS-275,SMO,0,0,0,0,1
MS-275,SOCS1,1,0,0,1,0
MS-275,STK11,6,4,0,2,1
MS-275,TET2,3,3,0,0,0
MS-275,TP53,227,223,0,4,0
MS-275,TSC1,1,1,0,0,1
MS-275,VHL,3,3,0,0,1
MS-275,BCR_ABL,4,4,0,0,0
MS-275,EWS_FLI1,11,11,0,0,1
MS-275,MLL_AFF1,2,2,0,0,0
MS-275,MISHL,41,41,0,0,1
Parthenolide,AKT2,2,0,2,0,0
Parthenolide,ALK,3,2,1,0,1
Parthenolide,APC,12,11,1,0,0
Parthenolide,BRAF,23,23,0,0,0
Parthenolide,BRCA1,2,0,2,0,1
Parthenolide,BRCA2,3,3,0,0,1
Parthenolide,CCND1,9,0,9,0,1
Parthenolide,CCND2,2,0,2,0,1
Parthenolide,CCND3,0,0,0,0,1
Parthenolide,CDH1,6,5,0,1,0
Parthenolide,CDK4,3,0,3,0,1
Parthenolide,CDK6,3,0,3,0,1
Parthenolide,CDKN2A,118,17,0,101,1
Parthenolide,CDKN2C,6,0,0,6,0
Parthenolide,CDKN2a(p14),105,105,0,0,0
Parthenolide,CTNNB1,7,4,1,2,0
Parthenolide,CYLD,1,1,0,0,1
Parthenolide,EGFR,11,5,6,0,0
Parthenolide,EP300,2,0,0,2,0
Parthenolide,ERBB2,5,0,5,0,1
Parthenolide,EZH2,4,4,0,0,1
Parthenolide,FAM123B,0,0,0,0,1
Parthenolide,FBXW7,11,10,0,1,1
Parthenolide,FGFR2,3,0,3,0,1
Parthenolide,FGFR3,2,1,1,0,1
Parthenolide,FLCN,2,1,1,0,1
Parthenolide,FLT3,4,3,1,0,1
Parthenolide,GNAS,4,1,3,0,0
Parthenolide,HRAS,3,3,0,0,1
Parthenolide,IDH1,0,0,0,0,1
Parthenolide,JAK2,3,0,2,1,0
Parthenolide,KDM5C,3,3,0,0,0
Parthenolide,KDM6A,17,9,0,8,0
Parthenolide,KDR,1,0,1,0,1
Parthenolide,KIT,2,0,2,0,0
Parthenolide,KRAS,24,20,4,0,1
Parthenolide,MAP2K4,4,1,0,3,1
Parthenolide,MDM2,5,0,5,0,0
Parthenolide,MET,3,0,3,0,0
Parthenolide,MLH1,8,7,1,0,1
Parthenolide,MLLT3,12,0,1,11,0
Parthenolide,MSH2,5,2,0,3,1
Parthenolide,MSH6,4,3,0,1,0
Parthenolide,MYC,27,0,27,0,0
Parthenolide,MYCL1,11,0,11,0,0
Parthenolide,MYCN,24,0,24,0,0
Parthenolide,NF1,13,8,0,5,0
Parthenolide,NF2,12,10,0,2,1
Parthenolide,NOTCH1,11,11,0,0,1
Parthenolide,NRAS,26,26,0,0,0
Parthenolide,PDGFRA,1,0,1,0,1
Parthenolide,PIK3CA,18,16,2,0,0
Parthenolide,PIK3R1,5,4,0,1,1
Parthenolide,PTEN,56,37,0,19,0
Parthenolide,RB1,63,52,0,11,0
Parthenolide,RUNX1,1,1,0,0,0
Parthenolide,SETD2,2,2,0,0,1
Parthenolide,SMAD4,8,6,0,2,0
Parthenolide,SMARCA4,4,4,0,0,1
Parthenolide,SMARCB1,0,0,0,0,1
Parthenolide,SMO,0,0,0,0,1
Parthenolide,SOCS1,1,0,0,1,0
Parthenolide,STK11,6,4,0,2,0
Parthenolide,TET2,3,3,0,0,0
Parthenolide,TP53,230,226,0,4,1
Parthenolide,TSC1,1,1,0,0,1
Parthenolide,VHL,4,4,0,0,0
Parthenolide,BCR_ABL,4,4,0,0,0
Parthenolide,EWS_FLI1,11,11,0,0,1
Parthenolide,MLL_AFF1,2,2,0,0,0
Parthenolide,MISHL,42,42,0,0,1
KIN001-135,AKT2,2,0,2,0,1
KIN001-135,ALK,3,2,1,0,1
KIN001-135,APC,12,11,1,0,1
KIN001-135,BRAF,23,23,0,0,1
KIN001-135,BRCA1,2,0,2,0,1
KIN001-135,BRCA2,3,3,0,0,0
KIN001-135,CCND1,10,0,10,0,1
KIN001-135,CCND2,2,0,2,0,1
KIN001-135,CCND3,0,0,0,0,1
KIN001-135,CDH1,6,5,0,1,1
KIN001-135,CDK4,3,0,3,0,0
KIN001-135,CDK6,3,0,3,0,1
KIN001-135,CDKN2A,118,17,0,101,1
KIN001-135,CDKN2C,6,0,0,6,0
KIN001-135,CDKN2a(p14),105,105,0,0,0
KIN001-135,CTNNB1,7,4,1,2,0
KIN001-135,CYLD,1,1,0,0,1
KIN001-135,EGFR,11,5,6,0,1
KIN001-135,EP300,2,0,0,2,1
KIN001-135,ERBB2,5,0,5,0,0
KIN001-135,EZH2,4,4,0,0,1
KIN001-135,FAM123B,0,0,0,0,1
KIN001-135,FBXW7,11,10,0,1,0
KIN001-135,FGFR2,3,0,3,0,1
KIN001-135,FGFR3,2,1,1,0,0
KIN001-135,FLCN,2,1,1,0,0
KIN001-135,FLT3,4,3,1,0,0
KIN001-135,GNAS,4,1,3,0,0
KIN001-135,HRAS,3,3,0,0,1
KIN001-135,IDH1,0,0,0,0,1
KIN001-135,JAK2,3,0,2,1,0
KIN001-135,KDM5C,3,3,0,0,1
KIN001-135,KDM6A,17,9,0,8,1
KIN001-135,KDR,1,0,1,0,0
KIN001-135,KIT,2,0,2,0,0
KIN001-135,KRAS,24,20,4,0,0
KIN001-135,MAP2K4,4,1,0,3,1
KIN001-135,MDM2,5,0,5,0,0
KIN001-135,MET,3,0,3,0,0
KIN001-135,MLH1,8,7,1,0,1
KIN001-135,MLLT3,12,0,1,11,0
KIN001-135,MSH2,5,2,0,3,0
KIN001-135,MSH6,4,3,0,1,1
KIN001-135,MYC,27,0,27,0,0
KIN001-135,MYCL1,10,0,10,0,0
KIN001-135,MYCN,24,0,24,0,1
KIN001-135,NF1,13,8,0,5,0
KIN001-135,NF2,12,10,0,2,0
KIN001-135,NOTCH1,11,11,0,0,1
KIN001-135,NRAS,26,26,0,0,1
KIN001-135,PDGFRA,1,0,1,0,1
KIN001-135,PIK3CA,18,16,2,0,0
KIN001-135,PIK3R1,5,4,0,1,0
KIN001-135,PTEN,55,36,0,19,1
KIN001-135,RB1,62,51,0,11,1
KIN001-135,RUNX1,1,1,0,0,0
KIN001-135,SETD2,2,2,0,0,0
KIN001-135,SMAD4,8,6,0,2,0
KIN001-135,SMARCA4,4,4,0,0,1
KIN001-135,SMARCB1,0,0,0,0,1
KIN001-135,SMO,0,0,0,0,1
KIN001-135,SOCS1,1,0,0,1,0
KIN001-135,STK11,6,4,0,2,1
KIN001-135,TET2,3,3,0,0,0
KIN001-135,TP53,230,226,0,4,1
KIN001-135,TSC1,1,1,0,0,1
KIN001-135,VHL,4,4,0,0,1
KIN001-135,BCR_ABL,4,4,0,0,1
KIN001-135,EWS_FLI1,11,11,0,0,1
KIN001-135,MLL_AFF1,2,2,0,0,1
KIN001-135,MISHL,41,41,0,0,1
TGX221,AKT2,2,0,2,0,0
TGX221,ALK,3,2,1,0,1
TGX221,APC,12,11,1,0,0
TGX221,BRAF,23,23,0,0,1
TGX221,BRCA1,2,0,2,0,0
TGX221,BRCA2,3,3,0,0,0
TGX221,CCND1,10,0,10,0,1
TGX221,CCND2,2,0,2,0,1
TGX221,CCND3,0,0,0,0,1
TGX221,CDH1,6,5,0,1,0
TGX221,CDK4,3,0,3,0,0
TGX221,CDK6,3,0,3,0,1
TGX221,CDKN2A,118,17,0,101,0
TGX221,CDKN2C,6,0,0,6,0
TGX221,CDKN2a(p14),105,105,0,0,0
TGX221,CTNNB1,7,4,1,2,1
TGX221,CYLD,1,1,0,0,1
TGX221,EGFR,11,5,6,0,1
TGX221,EP300,2,0,0,2,0
TGX221,ERBB2,5,0,5,0,1
TGX221,EZH2,4,4,0,0,1
TGX221,FAM123B,0,0,0,0,1
TGX221,FBXW7,11,10,0,1,0
TGX221,FGFR2,3,0,3,0,1
TGX221,FGFR3,2,1,1,0,1
TGX221,FLCN,2,1,1,0,0
TGX221,FLT3,4,3,1,0,0
TGX221,GNAS,4,1,3,0,0
TGX221,HRAS,3,3,0,0,0
TGX221,IDH1,0,0,0,0,1
TGX221,JAK2,3,0,2,1,1
TGX221,KDM5C,3,3,0,0,1
TGX221,KDM6A,17,9,0,8,1
TGX221,KDR,1,0,1,0,1
TGX221,KIT,2,0,2,0,0
TGX221,KRAS,24,20,4,0,1
TGX221,MAP2K4,4,1,0,3,1
TGX221,MDM2,5,0,5,0,1
TGX221,MET,3,0,3,0,0
TGX221,MLH1,8,7,1,0,1
TGX221,MLLT3,12,0,1,11,0
TGX221,MSH2,5,2,0,3,1
TGX221,MSH6,4,3,0,1,0
TGX221,MYC,27,0,27,0,0
TGX221,MYCL1,10,0,10,0,0
TGX221,MYCN,24,0,24,0,1
TGX221,NF1,13,8,0,5,0
TGX221,NF2,12,10,0,2,0
TGX221,NOTCH1,11,11,0,0,1
TGX221,NRAS,26,26,0,0,1
TGX221,PDGFRA,1,0,1,0,1
TGX221,PIK3CA,18,16,2,0,1
TGX221,PIK3R1,5,4,0,1,1
TGX221,PTEN,55,36,0,19,0
TGX221,RB1,62,51,0,11,1
TGX221,RUNX1,1,1,0,0,1
TGX221,SETD2,2,2,0,0,0
TGX221,SMAD4,8,6,0,2,1
TGX221,SMARCA4,4,4,0,0,1
TGX221,SMARCB1,0,0,0,0,1
TGX221,SMO,0,0,0,0,1
TGX221,SOCS1,1,0,0,1,1
TGX221,STK11,6,4,0,2,0
TGX221,TET2,3,3,0,0,0
TGX221,TP53,229,225,0,4,0
TGX221,TSC1,1,1,0,0,1
TGX221,VHL,4,4,0,0,0
TGX221,BCR_ABL,4,4,0,0,1
TGX221,EWS_FLI1,11,11,0,0,1
TGX221,MLL_AFF1,2,2,0,0,0
TGX221,MISHL,41,41,0,0,1
Bortezomib,AKT2,2,0,2,0,0
Bortezomib,ALK,3,2,1,0,1
Bortezomib,APC,12,11,1,0,0
Bortezomib,BRAF,23,23,0,0,1
Bortezomib,BRCA1,2,0,2,0,0
Bortezomib,BRCA2,3,3,0,0,1
Bortezomib,CCND1,10,0,10,0,1
Bortezomib,CCND2,2,0,2,0,1
Bortezomib,CCND3,0,0,0,0,1
Bortezomib,CDH1,6,5,0,1,0
Bortezomib,CDK4,3,0,3,0,0
Bortezomib,CDK6,3,0,3,0,1
Bortezomib,CDKN2A,117,17,0,100,0
Bortezomib,CDKN2C,6,0,0,6,0
Bortezomib,CDKN2a(p14),104,104,0,0,1
Bortezomib,CTNNB1,7,4,1,2,0
Bortezomib,CYLD,1,1,0,0,1
Bortezomib,EGFR,11,5,6,0,1
Bortezomib,EP300,2,0,0,2,0
Bortezomib,ERBB2,5,0,5,0,1
Bortezomib,EZH2,4,4,0,0,1
Bortezomib,FAM123B,0,0,0,0,1
Bortezomib,FBXW7,11,10,0,1,0
Bortezomib,FGFR2,3,0,3,0,1
Bortezomib,FGFR3,2,1,1,0,0
Bortezomib,FLCN,2,1,1,0,1
Bortezomib,FLT3,4,3,1,0,0
Bortezomib,GNAS,4,1,3,0,0
Bortezomib,HRAS,3,3,0,0,0
Bortezomib,IDH1,0,0,0,0,1
Bortezomib,JAK2,3,0,2,1,0
Bortezomib,KDM5C,3,3,0,0,0
Bortezomib,KDM6A,17,9,0,8,1
Bortezomib,KDR,1,0,1,0,1
Bortezomib,KIT,2,0,2,0,0
Bortezomib,KRAS,24,20,4,0,0
Bortezomib,MAP2K4,4,1,0,3,0
Bortezomib,MDM2,5,0,5,0,1
Bortezomib,MET,3,0,3,0,0
Bortezomib,MLH1,8,7,1,0,1
Bortezomib,MLLT3,12,0,1,11,1
Bortezomib,MSH2,5,2,0,3,1
Bortezomib,MSH6,4,3,0,1,1
Bortezomib,MYC,27,0,27,0,1
Bortezomib,MYCL1,10,0,10,0,0
Bortezomib,MYCN,24,0,24,0,1
Bortezomib,NF1,13,8,0,5,1
Bortezomib,NF2,12,10,0,2,0
Bortezomib,NOTCH1,11,11,0,0,0
Bortezomib,NRAS,24,24,0,0,1
Bortezomib,PDGFRA,1,0,1,0,1
Bortezomib,PIK3CA,18,16,2,0,0
Bortezomib,PIK3R1,5,4,0,1,1
Bortezomib,PTEN,55,36,0,19,0
Bortezomib,RB1,62,51,0,11,0
Bortezomib,RUNX1,1,1,0,0,1
Bortezomib,SETD2,1,1,0,0,1
Bortezomib,SMAD4,8,6,0,2,0
Bortezomib,SMARCA4,4,4,0,0,1
Bortezomib,SMARCB1,0,0,0,0,1
Bortezomib,SMO,0,0,0,0,1
Bortezomib,SOCS1,1,0,0,1,0
Bortezomib,STK11,6,4,0,2,0
Bortezomib,TET2,3,3,0,0,1
Bortezomib,TP53,228,224,0,4,0
Bortezomib,TSC1,1,1,0,0,1
Bortezomib,VHL,3,3,0,0,0
Bortezomib,BCR_ABL,4,4,0,0,0
Bortezomib,EWS_FLI1,11,11,0,0,1
Bortezomib,MLL_AFF1,2,2,0,0,1
Bortezomib,MISHL,40,40,0,0,1
XMD8-85,AKT2,1,0,1,0,0
XMD8-85,ALK,3,2,1,0,1
XMD8-85,APC,12,11,1,0,1
XMD8-85,BRAF,23,23,0,0,1
XMD8-85,BRCA1,2,0,2,0,0
XMD8-85,BRCA2,3,3,0,0,1
XMD8-85,CCND1,10,0,10,0,1
XMD8-85,CCND2,2,0,2,0,1
XMD8-85,CCND3,0,0,0,0,1
XMD8-85,CDH1,6,5,0,1,0
XMD8-85,CDK4,3,0,3,0,1
XMD8-85,CDK6,3,0,3,0,1
XMD8-85,CDKN2A,118,17,0,101,0
XMD8-85,CDKN2C,6,0,0,6,1
XMD8-85,CDKN2a(p14),105,105,0,0,0
XMD8-85,CTNNB1,7,4,1,2,0
XMD8-85,CYLD,1,1,0,0,1
XMD8-85,EGFR,11,5,6,0,0
XMD8-85,EP300,2,0,0,2,0
XMD8-85,ERBB2,5,0,5,0,1
XMD8-85,EZH2,4,4,0,0,1
XMD8-85,FAM123B,0,0,0,0,1
XMD8-85,FBXW7,11,10,0,1,0
XMD8-85,FGFR2,3,0,3,0,1
XMD8-85,FGFR3,2,1,1,0,0
XMD8-85,FLCN,2,1,1,0,1
XMD8-85,FLT3,4,3,1,0,1
XMD8-85,GNAS,4,1,3,0,0
XMD8-85,HRAS,3,3,0,0,0
XMD8-85,IDH1,0,0,0,0,1
XMD8-85,JAK2,3,0,2,1,1
XMD8-85,KDM5C,3,3,0,0,1
XMD8-85,KDM6A,17,9,0,8,0
XMD8-85,KDR,1,0,1,0,0
XMD8-85,KIT,2,0,2,0,0
XMD8-85,KRAS,24,20,4,0,0
XMD8-85,MAP2K4,4,1,0,3,0
XMD8-85,MDM2,5,0,5,0,0
XMD8-85,MET,3,0,3,0,0
XMD8-85,MLH1,8,7,1,0,1
XMD8-85,MLLT3,12,0,1,11,1
XMD8-85,MSH2,5,2,0,3,1
XMD8-85,MSH6,4,3,0,1,0
XMD8-85,MYC,27,0,27,0,1
XMD8-85,MYCL1,10,0,10,0,1
XMD8-85,MYCN,24,0,24,0,1
XMD8-85,NF1,13,8,0,5,1
XMD8-85,NF2,12,10,0,2,1
XMD8-85,NOTCH1,11,11,0,0,1
XMD8-85,NRAS,25,25,0,0,1
XMD8-85,PDGFRA,1,0,1,0,1
XMD8-85,PIK3CA,18,16,2,0,0
XMD8-85,PIK3R1,5,4,0,1,1
XMD8-85,PTEN,55,36,0,19,0
XMD8-85,RB1,63,52,0,11,0
XMD8-85,RUNX1,1,1,0,0,1
XMD8-85,SETD2,2,2,0,0,0
XMD8-85,SMAD4,8,6,0,2,0
XMD8-85,SMARCA4,4,4,0,0,1
XMD8-85,SMARCB1,0,0,0,0,1
XMD8-85,SMO,0,0,0,0,1
XMD8-85,SOCS1,1,0,0,1,0
XMD8-85,STK11,6,4,0,2,0
XMD8-85,TET2,3,3,0,0,0
XMD8-85,TP53,226,223,0,3,1
XMD8-85,TSC1,1,1,0,0,1
XMD8-85,VHL,4,4,0,0,1
XMD8-85,BCR_ABL,4,4,0,0,1
XMD8-85,EWS_FLI1,11,11,0,0,1
XMD8-85,MLL_AFF1,2,2,0,0,0
XMD8-85,MISHL,41,41,0,0,1
Roscovitine,AKT2,1,0,1,0,0
Roscovitine,ALK,3,2,1,0,1
Roscovitine,APC,12,11,1,0,0
Roscovitine,BRAF,23,23,0,0,1
Roscovitine,BRCA1,2,0,2,0,1
Roscovitine,BRCA2,3,3,0,0,1
Roscovitine,CCND1,10,0,10,0,1
Roscovitine,CCND2,2,0,2,0,1
Roscovitine,CCND3,0,0,0,0,1
Roscovitine,CDH1,6,5,0,1,0
Roscovitine,CDK4,3,0,3,0,1
Roscovitine,CDK6,3,0,3,0,0
Roscovitine,CDKN2A,117,17,0,100,1
Roscovitine,CDKN2C,6,0,0,6,1
Roscovitine,CDKN2a(p14),104,104,0,0,0
Roscovitine,CTNNB1,7,4,1,2,1
Roscovitine,CYLD,1,1,0,0,1
Roscovitine,EGFR,11,5,6,0,0
Roscovitine,EP300,2,0,0,2,1
Roscovitine,ERBB2,5,0,5,0,1
Roscovitine,EZH2,4,4,0,0,1
Roscovitine,FAM123B,0,0,0,0,1
Roscovitine,FBXW7,11,10,0,1,1
Roscovitine,FGFR2,3,0,3,0,1
Roscovitine,FGFR3,2,1,1,0,0
Roscovitine,FLCN,2,1,1,0,0
Roscovitine,FLT3,4,3,1,0,0
Roscovitine,GNAS,4,1,3,0,0
Roscovitine,HRAS,3,3,0,0,1
Roscovitine,IDH1,0,0,0,0,1
Roscovitine,JAK2,3,0,2,1,0
Roscovitine,KDM5C,3,3,0,0,0
Roscovitine,KDM6A,17,9,0,8,1
Roscovitine,KDR,1,0,1,0,1
Roscovitine,KIT,2,0,2,0,0
Roscovitine,KRAS,24,20,4,0,0
Roscovitine,MAP2K4,4,1,0,3,1
Roscovitine,MDM2,5,0,5,0,0
Roscovitine,MET,3,0,3,0,0
Roscovitine,MLH1,8,7,1,0,1
Roscovitine,MLLT3,12,0,1,11,0
Roscovitine,MSH2,5,2,0,3,1
Roscovitine,MSH6,4,3,0,1,1
Roscovitine,MYC,27,0,27,0,0
Roscovitine,MYCL1,10,0,10,0,0
Roscovitine,MYCN,24,0,24,0,1
Roscovitine,NF1,13,8,0,5,0
Roscovitine,NF2,12,10,0,2,0
Roscovitine,NOTCH1,11,11,0,0,0
Roscovitine,NRAS,23,23,0,0,1
Roscovitine,PDGFRA,1,0,1,0,1
Roscovitine,PIK3CA,18,16,2,0,0
Roscovitine,PIK3R1,5,4,0,1,0
Roscovitine,PTEN,55,36,0,19,0
Roscovitine,RB1,63,52,0,11,0
Roscovitine,RUNX1,1,1,0,0,0
Roscovitine,SETD2,1,1,0,0,0
Roscovitine,SMAD4,8,6,0,2,1
Roscovitine,SMARCA4,4,4,0,0,0
Roscovitine,SMARCB1,0,0,0,0,1
Roscovitine,SMO,0,0,0,0,1
Roscovitine,SOCS1,1,0,0,1,0
Roscovitine,STK11,6,4,0,2,1
Roscovitine,TET2,3,3,0,0,0
Roscovitine,TP53,225,222,0,3,1
Roscovitine,TSC1,1,1,0,0,1
Roscovitine,VHL,3,3,0,0,0
Roscovitine,BCR_ABL,4,4,0,0,1
Roscovitine,EWS_FLI1,11,11,0,0,0
Roscovitine,MLL_AFF1,2,2,0,0,0
Roscovitine,MISHL,40,40,0,0,1
Salubrinal,AKT2,1,0,1,0,0
Salubrinal,ALK,3,2,1,0,0
Salubrinal,APC,12,11,1,0,1
Salubrinal,BRAF,23,23,0,0,1
Salubrinal,BRCA1,2,0,2,0,1
Salubrinal,BRCA2,3,3,0,0,1
Salubrinal,CCND1,10,0,10,0,1
Salubrinal,CCND2,2,0,2,0,1
Salubrinal,CCND3,0,0,0,0,1
Salubrinal,CDH1,6,5,0,1,0
Salubrinal,CDK4,3,0,3,0,0
Salubrinal,CDK6,3,0,3,0,1
Salubrinal,CDKN2A,119,17,0,102,1
Salubrinal,CDKN2C,6,0,0,6,1
Salubrinal,CDKN2a(p14),106,106,0,0,0
Salubrinal,CTNNB1,7,4,1,2,0
Salubrinal,CYLD,1,1,0,0,0
Salubrinal,EGFR,11,5,6,0,0
Salubrinal,EP300,2,0,0,2,1
Salubrinal,ERBB2,5,0,5,0,1
Salubrinal,EZH2,4,4,0,0,1
Salubrinal,FAM123B,0,0,0,0,1
Salubrinal,FBXW7,12,11,0,1,0
Salubrinal,FGFR2,3,0,3,0,1
Salubrinal,FGFR3,2,1,1,0,0
Salubrinal,FLCN,2,1,1,0,0
Salubrinal,FLT3,4,3,1,0,0
Salubrinal,GNAS,4,1,3,0,1
Salubrinal,HRAS,3,3,0,0,1
Salubrinal,IDH1,0,0,0,0,1
Salubrinal,JAK2,3,0,2,1,0
Salubrinal,KDM5C,3,3,0,0,0
Salubrinal,KDM6A,17,9,0,8,1
Salubrinal,KDR,1,0,1,0,1
Salubrinal,KIT,2,0,2,0,0
Salubrinal,KRAS,24,20,4,0,0
Salubrinal,MAP2K4,4,1,0,3,1
Salubrinal,MDM2,5,0,5,0,0
Salubrinal,MET,3,0,3,0,0
Salubrinal,MLH1,8,7,1,0,1
Salubrinal,MLLT3,12,0,1,11,1
Salubrinal,MSH2,6,3,0,3,1
Salubrinal,MSH6,4,3,0,1,1
Salubrinal,MYC,27,0,27,0,1
Salubrinal,MYCL1,10,0,10,0,1
Salubrinal,MYCN,24,0,24,0,1
Salubrinal,NF1,13,8,0,5,0
Salubrinal,NF2,12,10,0,2,0
Salubrinal,NOTCH1,12,12,0,0,1
Salubrinal,NRAS,26,26,0,0,0
Salubrinal,PDGFRA,1,0,1,0,1
Salubrinal,PIK3CA,18,16,2,0,0
Salubrinal,PIK3R1,5,4,0,1,1
Salubrinal,PTEN,55,36,0,19,0
Salubrinal,RB1,63,52,0,11,0
Salubrinal,RUNX1,1,1,0,0,1
Salubrinal,SETD2,2,2,0,0,1
Salubrinal,SMAD4,8,6,0,2,0
Salubrinal,SMARCA4,4,4,0,0,0
Salubrinal,SMARCB1,0,0,0,0,1
Salubrinal,SMO,0,0,0,0,1
Salubrinal,SOCS1,1,0,0,1,1
Salubrinal,STK11,6,4,0,2,1
Salubrinal,TET2,3,3,0,0,0
Salubrinal,TP53,227,224,0,3,0
Salubrinal,TSC1,1,1,0,0,0
Salubrinal,VHL,4,4,0,0,0
Salubrinal,BCR_ABL,4,4,0,0,0
Salubrinal,EWS_FLI1,11,11,0,0,0
Salubrinal,MLL_AFF1,2,2,0,0,0
Salubrinal,MISHL,42,42,0,0,1
Lapatinib,AKT2,1,0,1,0,1
Lapatinib,ALK,3,2,1,0,1
Lapatinib,APC,12,11,1,0,1
Lapatinib,BRAF,23,23,0,0,1
Lapatinib,BRCA1,2,0,2,0,0
Lapatinib,BRCA2,3,3,0,0,0
Lapatinib,CCND1,10,0,10,0,0
Lapatinib,CCND2,2,0,2,0,1
Lapatinib,CCND3,0,0,0,0,1
Lapatinib,CDH1,6,5,0,1,0
Lapatinib,CDK4,3,0,3,0,0
Lapatinib,CDK6,3,0,3,0,1
Lapatinib,CDKN2A,117,17,0,100,0
Lapatinib,CDKN2C,6,0,0,6,1
Lapatinib,CDKN2a(p14),104,104,0,0,0
Lapatinib,CTNNB1,7,4,1,2,1
Lapatinib,CYLD,1,1,0,0,1
Lapatinib,EGFR,11,5,6,0,0
Lapatinib,EP300,2,0,0,2,0
Lapatinib,ERBB2,5,0,5,0,0
Lapatinib,EZH2,4,4,0,0,1
Lapatinib,FAM123B,0,0,0,0,1
Lapatinib,FBXW7,11,10,0,1,0
Lapatinib,FGFR2,3,0,3,0,1
Lapatinib,FGFR3,2,1,1,0,0
Lapatinib,FLCN,2,1,1,0,0
Lapatinib,FLT3,4,3,1,0,0
Lapatinib,GNAS,4,1,3,0,0
Lapatinib,HRAS,3,3,0,0,1
Lapatinib,IDH1,0,0,0,0,1
Lapatinib,JAK2,3,0,2,1,1
Lapatinib,KDM5C,3,3,0,0,1
Lapatinib,KDM6A,17,9,0,8,1
Lapatinib,KDR,1,0,1,0,1
Lapatinib,KIT,2,0,2,0,0
Lapatinib,KRAS,24,20,4,0,1
Lapatinib,MAP2K4,4,1,0,3,0
Lapatinib,MDM2,5,0,5,0,1
Lapatinib,MET,3,0,3,0,0
Lapatinib,MLH1,8,7,1,0,1
Lapatinib,MLLT3,12,0,1,11,0
Lapatinib,MSH2,5,2,0,3,1
Lapatinib,MSH6,4,3,0,1,1
Lapatinib,MYC,27,0,27,0,1
Lapatinib,MYCL1,10,0,10,0,1
Lapatinib,MYCN,24,0,24,0,1
Lapatinib,NF1,13,8,0,5,1
Lapatinib,NF2,12,10,0,2,0
Lapatinib,NOTCH1,11,11,0,0,1
Lapatinib,NRAS,23,23,0,0,1
Lapatinib,PDGFRA,1,0,1,0,1
Lapatinib,PIK3CA,18,16,2,0,0
Lapatinib,PIK3R1,5,4,0,1,1
Lapatinib,PTEN,55,36,0,19,1
Lapatinib,RB1,63,52,0,11,1
Lapatinib,RUNX1,1,1,0,0,1
Lapatinib,SETD2,1,1,0,0,0
Lapatinib,SMAD4,8,6,0,2,0
Lapatinib,SMARCA4,4,4,0,0,1
Lapatinib,SMARCB1,0,0,0,0,1
Lapatinib,SMO,0,0,0,0,1
Lapatinib,SOCS1,1,0,0,1,0
Lapatinib,STK11,6,4,0,2,0
Lapatinib,TET2,3,3,0,0,1
Lapatinib,TP53,225,222,0,3,0
Lapatinib,TSC1,1,1,0,0,1
Lapatinib,VHL,3,3,0,0,0
Lapatinib,BCR_ABL,4,4,0,0,1
Lapatinib,EWS_FLI1,11,11,0,0,1
Lapatinib,MLL_AFF1,2,2,0,0,0
Lapatinib,MISHL,40,40,0,0,1
GSK269962A,AKT2,2,0,2,0,1
GSK269962A,ALK,3,2,1,0,1
GSK269962A,APC,12,11,1,0,1
GSK269962A,BRAF,23,23,0,0,0
GSK269962A,BRCA1,2,0,2,0,1
GSK269962A,BRCA2,3,3,0,0,1
GSK269962A,CCND1,9,0,9,0,1
GSK269962A,CCND2,2,0,2,0,1
GSK269962A,CCND3,0,0,0,0,1
GSK269962A,CDH1,6,5,0,1,0
GSK269962A,CDK4,3,0,3,0,0
GSK269962A,CDK6,3,0,3,0,0
GSK269962A,CDKN2A,119,17,0,102,1
GSK269962A,CDKN2C,6,0,0,6,1
GSK269962A,CDKN2a(p14),106,106,0,0,0
GSK269962A,CTNNB1,7,4,1,2,0
GSK269962A,CYLD,1,1,0,0,1
GSK269962A,EGFR,11,5,6,0,1
GSK269962A,EP300,2,0,0,2,0
GSK269962A,ERBB2,5,0,5,0,1
GSK269962A,EZH2,4,4,0,0,1
GSK269962A,FAM123B,0,0,0,0,1
GSK269962A,FBXW7,12,11,0,1,0
GSK269962A,FGFR2,3,0,3,0,1
GSK269962A,FGFR3,2,1,1,0,1
GSK269962A,FLCN,2,1,1,0,0
GSK269962A,FLT3,4,3,1,0,0
GSK269962A,GNAS,4,1,3,0,0
GSK269962A,HRAS,3,3,0,0,0
GSK269962A,IDH1,0,0,0,0,1
GSK269962A,JAK2,3,0,2,1,1
GSK269962A,KDM5C,3,3,0,0,0
GSK269962A,KDM6A,17,9,0,8,1
